geolocation_zip_code_prefix,lat,long
2213,-23.496549387752914,-46.588468666300734
2214,-23.49273234597807,-46.586953640063854
2215,-23.490940995050558,-46.58348024409633
2216,-23.493017151771358,-46.57980265322542
2217,-23.49030504675899,-46.58030554255724
2218,-23.48675741517695,-46.5847746963798
2219,-23.491325632574252,-46.58647098131283
2220,-23.490040572579765,-46.578327560499375
2221,-23.482625380051413,-46.58057497008761
2222,-23.48236432466619,-46.575488395803276
2223,-23.48159447092369,-46.58046129094973
2224,-23.48423978103235,-46.573536410821056
2225,-23.482736577265378,-46.575086503971164
2226,-23.480555618991385,-46.57335799600646
2227,-23.47887772270324,-46.57228905016589
2228,-23.475079529795767,-46.57164634689812
2229,-23.47717834039221,-46.568295882953635
2230,-23.483760486135218,-46.563524876109874
2231,-23.47564614294332,-46.56558172594988
2232,-23.475479122709785,-46.56402170719008
2233,-23.47763706776848,-46.564543674716724
2234,-23.478778675797543,-46.569994948327135
2235,-23.479703194605978,-46.577095510569144
2236,-23.472535267561984,-46.568346423043174
2237,-23.513120629647762,-46.58647209667304
2238,-23.471000972535602,-46.571376740069944
2239,-23.485651811479165,-46.609504004795504
2240,-23.477885628196898,-46.602211847348045
2241,-23.4906081104199,-46.6074155801978
2242,-23.487714346771423,-46.59939855055013
2243,-23.49146433746111,-46.60336130421363
2244,-23.488474776703313,-46.60460912369561
2245,-23.48467861169732,-46.60627523736647
2246,-23.488879291628923,-46.60157823966337
2247,-23.485988663457054,-46.601196594221314
2248,-23.48372956493018,-46.59899106704604
2249,-23.488911638766435,-46.59701506934536
2250,-23.486383283395703,-46.59595948343971
2251,-23.47760412728931,-46.59068769856807
2252,-23.47880873335038,-46.588321982602345
2253,-23.47938204147569,-46.595503091898415
2254,-23.481446869618427,-46.59332477214589
2255,-23.47686769321182,-46.59180604489987
2256,-23.47537123189906,-46.58736565490731
2257,-23.47296611228887,-46.58329537036139
2258,-23.475685102198153,-46.58141043643644
2259,-23.47173978871507,-46.58080230990952
